8.1,100,54.32,0,0.13,5.29,65.93
6.38,0,43.01,0,0,3.19,62.28
3.5,0,46.58,0,8.33,36.75,98.29
100,100,40.62,0,0.3,3.09,57.08
100,0,96.14,0,49.6,49.6,49.6
8.69,100,80.77,96.64,100,100,100
24.92,0,89.05,0,88.81,88.64,88.72
15.94,100,57.37,0,41.67,41.67,41.67
100,0,53.06,0,77.56,77.56,77.56
11.05,100,61.39,0,115,115,115
37.18,95.64,96.48,0,129.25,129.25,129.25
66.27,100,49.34,0,57.22,57.22,57.22
14.96,100,98.1,42.21,894.24,979.72,84.7
7.89,100,85.18,0,53.18,53.18,53.18
43.11,100,65.2,0,74.17,74.17,74.17
9.99,100,97.05,0,48.84,48.84,48.84
69.31,0,89.42,0,172.67,172.67,172.67
100,100,82.58,0,55.93,55.93,27.78
24.83,100,83.91,70.84,125.22,103.28,111.33
33.3,0,47.84,0,0,0,0
22.76,0,19.43,0,0.2,0.27,3.51
7.84,100,36.92,95.9,74.96,75.46,11.83
16.76,0,12.78,0,0.32,0.36,6.14
13.61,0,7.77,0,0,0,0
1.47,0,47.24,0,3.53,3.77,4.87
71.3,100,39.28,0,0.18,0.18,0
72.73,100,61.23,82.23,57.04,57.04,95.83
1.3,100,86.07,100,133.6,76.86,91.67
2.17,100,81.04,12.13,187.52,61.51,103.45
16.35,100,100,99.23,107.89,107.74,108.04
100,93.71,70.56,94.5,92.39,92.39,105.03
47.79,100,100,100,100,100,100
3.78,100,86.81,90.57,174.42,147.6,129.9
9.67,100,45.07,56.19,68.13,1.07,96.76
51.89,100,72.98,32.86,91.14,64.79,94.07
30.05,100,80.25,34.84,57.37,42.02,95.48
41.06,100,72.85,100,89.29,58.56,105.04
25.34,58.72,86.47,80.15,109.04,92.47,116.08
7.51,100,54.88,99.16,149.53,86.83,100.25
4.14,100,38.82,100,84.88,82.85,119.44
38.72,100,61.41,96.2,132.5,27.5,132.5
70.69,100,62.04,99.39,98.45,74.22,103.42
26.09,100,91.3,93.38,114.64,109.77,104.33
8.39,100,61.55,51.37,100,100,100
34.81,71.09,75.61,0,100,100,100
2.7,100,83.39,16.84,166.01,93.97,109.78
35.41,100,62.36,100,54.43,54.97,99.7
2.98,100,87.12,8.45,144.05,89.98,100.68
18.5,0,63.59,100,162.88,162.69,92.99
36.1,100,46.38,99.71,100,100,100
81.41,100,60.21,96.5,98.33,82.36,92.13
96.26,99.34,85.63,42.9,116.67,150,138.56
68.12,100,76.53,72.36,106.38,58.41,122.81
75.58,100,28,71.79,95.44,56.06,103.51
11.11,100,75.66,48.28,113.07,79.68,88.87
7.25,100,86.89,98.43,111.42,111.42,104.17
76.02,100,92.85,98.69,70.82,71.04,99.76
68.27,100,32.81,99.99,15.51,1.21,102.5
100,0,58.43,99.99,93.95,3.85,120.42
44.28,100,97.02,95.92,171.91,95.21,119.28
100,0,23.61,96.16,152.8,29.47,81.48
100,0,67.72,93.7,111.87,111.87,112.5
50.27,100,21.84,100,731.25,147.08,106.48
74.86,100,88.23,100,95.16,89.92,95.16
11.13,100,56.41,84.64,121.24,55.79,90.85
63.25,100,86.08,100,92.01,75.6,117.06
4.87,100,100,100,95.74,94.67,111.46
6.32,100,72.63,100,127,94.34,97.43
51.58,100,76.72,19.26,300,36.36,117.71
12.45,100,100,96.5,93.17,93.17,110.42
7.3,100,95.22,100,218.2,95.4,102.17
83.24,24.26,100,95.5,130.86,108.07,117.13
37.84,100,78.78,90.48,103.5,83.79,61.4
53.94,100,80.43,100,61.59,45.38,105.7
100,0,100,37.86,93.1,79.41,120
62.87,100,80.78,97.43,94.18,94.18,100.7
2.17,100,82.88,75.52,85.83,84.97,103.99
64.17,100,79.65,100,163.77,100.03,94.91
88.53,16.43,94.44,100,83.08,83.08,83.08
100,0,61.03,100,99.15,28.13,117.54
36.74,93.76,68.15,0,100,76.71,120
32.57,100,85.99,100,96.82,30.73,118.77
51.35,100,63.48,31.85,91.42,94.16,121.63
94.29,100,100,100,110.78,110.71,94.8
62.12,100,48.29,41.46,99.52,99.47,111
41.49,94.04,86.22,100,124.13,100.32,108.6
59.58,100,22.21,88.9,180.45,98.08,90.58
42.1,0,62.56,100,104.88,58.68,108.8
96.58,99.55,100,39.29,111.55,111.74,108.24
67.56,100,76.23,100,121.74,65.22,109.33
58.15,100,100,93.79,110.21,110.42,88.73
43.2,100,64.85,25.43,167.87,94.24,89.62
53.25,100,96.33,100,101.65,101.95,116.21
19.63,100,72.83,100,57.36,57.36,117.94
11.63,0,34.9,69.52,157.36,158.33,99.19
50.11,100,63.17,94.94,725.33,20.1,101.02
100,59.96,100,60.03,90,217.78,306.67
69.84,100,49.45,100,111.21,111.21,106.99
51.25,100,23.05,88.97,155,65.83,155
31.19,100,79.24,95.45,148.95,61.93,90.83
89.17,100,51.16,100,100.68,100.61,101.65
66.99,100,57.82,100,138.61,114.49,101.67
13.39,100,87.27,56.08,110.51,110.21,118.3
12.56,0,93.45,26.67,160.65,160.65,160.65
45.29,0,81.23,60.81,136.46,110.88,115.03
76.54,100,75.02,100,120.73,120.73,104.96
54.85,100,51.88,56.68,94.96,18.85,105.32
